Verlegeart,1,2,3,4,5,6,7,8,9
A_1,1.00,0.80,0.70,0.65,0.60,0.57,0.54,0.52,0.50
B_1,1.00,0.85,0.79,0.75,0.73,0.72,0.72,0.71,0.7
B_2,1.00,0.94,0.9,0.9,0.9,0.9,0.9,0.9,0.9
C_1,0.95,0.81,0.72,0.68,0.66,0.64,0.63,0.62,0.61
C_2,0.95,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
D_1,0.97,0.84,0.78,0.75,0.73,0.71,0.7,0.69,0.68
D_2,0.97,0.83,0.76,0.72,0.7,0.68,0.66,0.64,0.63
D_3,0.97,0.82,0.75,0.71,0.68,0.66,0.64,0.62,0.61
D_4,0.97,0.81,0.73,0.69,0.66,0.63,0.61,0.59,0.58
E_1,1,0.88,0.82,0.79,0.76,0.76,0.74,0.73,0.73
E_2,1,0.87,0.8,0.77,0.74,0.73,0.7,0.69,0.68
E_3,1,0.86,0.79,0.76,0.72,0.71,0.68,0.67,0.66
E_4,1,0.84,0.77,0.73,0.7,0.68,0.66,0.65,0.64
F_1,1,0.87,0.82,0.8,0.8,0.79,0.78,0.78,0.78
F_2,1,0.86,0.81,0.78,0.76,0.76,0.74,0.73,0.73
F_3,1,0.85,0.79,0.76,0.74,0.73,0.72,0.71,0.7
F_4,1,0.83,0.76,0.73,0.71,0.69,0.68,0.67,0.66


