Umgebungstemperatur (°C),Zulässige Betriebstemperatur 40 °C,Zulässige Betriebstemperatur 60 °C,Zulässige Betriebstemperatur 70 °C,Zulässige Betriebstemperatur 80 °C,Zulässige Betriebstemperatur 85 °C,Zulässige Betriebstemperatur 90 °C
10,1.73,1.29,1.22,1.18,1.17,1.15
15,1.58,1.22,1.17,1.14,1.13,1.12
20,1.41,1.15,1.12,1.10,1.09,1.08
25,1.22,1.08,1.06,1.05,1.04,1.04
30,1.00,1.00,1.00,1.00,1.00,1.00
35,0.71,0.91,0.94,0.95,0.95,0.96
40,0.00,0.82,0.87,0.89,0.90,0.91
45,0.00,0.71,0.79,0.84,0.85,0.87
50,0.00,0.58,0.71,0.77,0.00,0.82
55,0.00,0.41,0.61,0.71,0.00,0.76
60,0.00,0.00,0.50,0.63,0.00,0.71
65,0.00,0.00,0.35,0.55,0.00,0.65
70,0.00,0.00,0.00,0.45,0.00,0.58
75,0.00,0.00,0.00,0.32,0.00,0.50
80,0.00,0.00,0.00,0.00,0.00,0.41
85,0.00,0.00,0.00,0.00,0.00,0.29

